vallath nandakumar , University of Texas—Austin , http://www.cs.utexas.edu/~vallathn
vijaya ramachandran , University of Texas—Austin , http://www.cs.utexas.edu/faculty/ramachandran http://www.cs.utexas.edu/~vlr
vitaly shmatikov , University of Texas—Austin , http://www.cs.utexas.edu/~shmat http://www.cs.utexas.edu/faculty/shmatikov
vladimir lifschitz , University of Texas—Austin , http://www.cs.utexas.edu/~vl http://www.cs.utexas.edu/faculty/lifschitz
warren a. hunt jr. , University of Texas—Austin , http://www.cs.utexas.edu/~hunt http://www.cs.utexas.edu/faculty/hunt
william d. (bill) young , University of Texas—Austin , http://www.cs.utexas.edu/~byoung
william d. young , University of Texas—Austin , http://www.cs.utexas.edu/~byoung
william h. press , University of Texas—Austin , http://www.cs.utexas.edu/faculty/press http://nr.com/whp
william r. cook , University of Texas—Austin , http://www.cs.utexas.edu/~wcook http://www.cs.utexas.edu/faculty/cook
yin zhang , University of Texas—Austin , http://www.cs.utexas.edu/faculty/zhang http://www.cs.utexas.edu/~yzhang
