Input.professor,Input.university,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs
romit roy choudhury,Duke University,Haldia Institute of Technology,University of Illinois at Urbana-Champaign,,University of Illinois at Urbana-Champaign,,Assistant,Hardware & Architecture,http://www.ece.illinois.edu/directory/profile.asp?croy http://www.cs.duke.edu/people/faculty/?csid=1690
ronald e. parr,Duke University,Princeton University,University of California,2013,,,Full,Artificial Intelligence,
sang (peter) chin,Boston University,Duke University,M.I.T,,M.I.T,,Full,Computer Education,http://www.cs.bu.edu/faculty/spchin/About_Me.html
satoshi sekine,New York University,,,,,,Associate,Programming Languages,http://nlp.cs.nyu.edu/sekine/
savan mukherjee,Duke University,,,,,,Associate,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=1606
shayan oveis gharan,University of Washington,,,Huang Engineering Center,,,Other,Software Engineering,http://www.stanford.edu/search/?cx=003265255082301896483%3Asq5n7qoyfh8&cof=FORID%3A9&ie=UTF-8&q=shayan+oveis+gharan&sa=Search
shivnath babu,Duke University,2008,Stanford University,2011,Institute of Technology Madras,2011,Assistant,Computer Education,http://www.cs.duke.edu/~shivnath/publications.html
simon s. lam,University of Texas-Austin,Washington State University,"University of California, Los Angeles",1977,"University of California, Los Angeles",,Full,Operating Systems,http://www.cs.utexas.edu/faculty/lam
stan sclaroff,Boston University,Tufts University,"Massachusetts Institute of Technology (MIT),",2007,Massachusetts Institute of Technology (MIT),,Full,Human-Computer Interaction,http://www.cs.bu.edu/fac/sclaroff/
stephen w. keckler,University of Texas-Austin,Stanford University,Massachusetts Institute of Technology (MIT),,Massachusetts Institute of Technology (MIT),,Adjunct,Computer Education,http://www.cs.utexas.edu/~skeckler/
steve gribble,University of Washington,University of British Columbia,UC Berkeley.,2000,UC Berkeley.,,Full,Computer Education,http://homes.cs.washington.edu/~gribble/biography.html
steve homer,Boston University,,M.I.T,1982,,,Full,Computer Education,http://www.cs.bu.edu/faculty/homer/shortbio.html
steven seitz,University of Washington,University of California,University of Wisconsin,2000,,,Full,Graphics,http://www.cs.washington.edu/people/faculty/seitz
subhash khot,New York University,Indian Institute of Technology Bombay,Princeton CS Department,2008,none,,Associate,Algorithms & Theory,http://cs.nyu.edu/~khot/publications.html http://en.wikipedia.org/wiki/Subhash_Khot
susan worst,Boston University,Washington University,,2010,Northwestern University,,Lecturer,Computer Education,
tabitha peck,Duke University,"Carnegie Mellon University. Pittsburgh, PA",The University of North Carolina,2012,The University of Barcelona,The University of Barcelona,Visiting,Computer Education,http://www.cs.duke.edu/~tpeck/ http://www.cs.duke.edu/people/faculty/?csid=3925
tamar schlick,New York University,,Wayne State University,,"Courant Institute, NYU",,Full,Computer Education,
tandy warnow,University of Texas-Austin,,,,,,Full,Bioinformatics & Computational Biology,http://www.cs.utexas.edu/~tandy/
theo benson,Duke University,Tufts University,"University of Wisconsin, Madison",2013,"University of Wisconsin, Madison",,Assistant,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3930
thomas moelhave,Duke University,Duke University,Duke University,2009,Duke University,,Other,Computer Vision,www.cs.duke.edu/research/profiles/
